X,CH1,CH2,
Second,Volt,Volt,
2.03e+00,1.52e+00,1.26e+00,
2.03e+00,1.12e+00,1.26e+00,
2.04e+00,1.36e+00,1.30e+00,
2.04e+00,1.36e+00,1.28e+00,
2.04e+00,1.44e+00,1.26e+00,
2.05e+00,1.36e+00,1.28e+00,
2.05e+00,1.12e+00,1.34e+00,
2.06e+00,1.20e+00,1.34e+00,
2.06e+00,1.60e+00,1.30e+00,
2.06e+00,1.36e+00,1.30e+00,
2.07e+00,1.12e+00,1.34e+00,
2.07e+00,1.20e+00,1.36e+00,
2.08e+00,1.44e+00,1.32e+00,
2.08e+00,1.36e+00,1.30e+00,
2.08e+00,1.04e+00,1.32e+00,
2.09e+00,1.20e+00,1.30e+00,
2.09e+00,1.52e+00,1.26e+00,
2.10e+00,1.44e+00,1.26e+00,
2.10e+00,1.04e+00,1.30e+00,
2.10e+00,1.20e+00,1.30e+00,
2.11e+00,1.44e+00,1.26e+00,
2.11e+00,1.36e+00,1.28e+00,
2.12e+00,1.12e+00,1.26e+00,
2.12e+00,1.12e+00,1.28e+00,
2.12e+00,1.52e+00,1.26e+00,
2.13e+00,1.52e+00,1.24e+00,
2.13e+00,1.12e+00,1.30e+00,
2.14e+00,1.12e+00,1.28e+00,
2.14e+00,1.44e+00,1.30e+00,
2.14e+00,1.52e+00,1.28e+00,
2.15e+00,1.04e+00,1.26e+00,
2.15e+00,1.04e+00,1.30e+00,
2.16e+00,1.44e+00,1.28e+00,
2.16e+00,1.52e+00,1.28e+00,
2.16e+00,1.12e+00,1.26e+00,
2.17e+00,1.04e+00,1.26e+00,
2.17e+00,1.36e+00,1.28e+00,
2.18e+00,1.52e+00,1.28e+00,
2.18e+00,1.04e+00,1.24e+00,
2.18e+00,1.12e+00,1.26e+00,
2.19e+00,1.36e+00,1.30e+00,
2.19e+00,1.52e+00,1.28e+00,
2.20e+00,1.36e+00,1.26e+00,
2.20e+00,1.36e+00,1.28e+00,
2.20e+00,1.68e+00,1.38e+00,
2.21e+00,1.68e+00,1.36e+00,
2.21e+00,1.28e+00,1.46e+00,
