X,CH1,CH2,
Second,Volt,Volt,
2.00e+00,-5.52e-01,-6.48e-01,
2.00e+00,-5.76e-01,-6.48e-01,
2.00e+00,-7.52e-01,-6.16e-01,
2.01e+00,-7.04e-01,-6.16e-01,
2.01e+00,-5.44e-01,-6.48e-01,
2.02e+00,-5.76e-01,-6.24e-01,
2.02e+00,-7.36e-01,-6.48e-01,
2.02e+00,-7.28e-01,-6.48e-01,
2.03e+00,-5.76e-01,-6.16e-01,
2.03e+00,-5.68e-01,-6.16e-01,
2.04e+00,-7.36e-01,-6.56e-01,
2.04e+00,-7.28e-01,-6.16e-01,
2.04e+00,-5.76e-01,-6.48e-01,
2.05e+00,-5.68e-01,-6.48e-01,
2.05e+00,-7.20e-01,-6.24e-01,
2.06e+00,-7.36e-01,-6.48e-01,
2.06e+00,-5.68e-01,-6.16e-01,
2.06e+00,-5.68e-01,-6.24e-01,
2.07e+00,-7.44e-01,-6.48e-01,
2.07e+00,-7.44e-01,-6.24e-01,
2.08e+00,-5.76e-01,-6.48e-01,
2.08e+00,-5.60e-01,-6.48e-01,
2.08e+00,-6.96e-01,-6.16e-01,
2.09e+00,-7.44e-01,-6.48e-01,
2.09e+00,-6.16e-01,-6.16e-01,
2.10e+00,-5.60e-01,-6.16e-01,
2.10e+00,-6.80e-01,-6.48e-01,
2.10e+00,-7.52e-01,-6.48e-01,
2.11e+00,-6.32e-01,-6.24e-01,
2.11e+00,-5.52e-01,-6.48e-01,
2.12e+00,-6.64e-01,-6.24e-01,
2.12e+00,-7.36e-01,-6.48e-01,
2.12e+00,-6.48e-01,-6.24e-01,
2.13e+00,-5.44e-01,-6.48e-01,
2.13e+00,-6.80e-01,-6.24e-01,
2.14e+00,-7.60e-01,-6.48e-01,
2.14e+00,-6.64e-01,-6.16e-01,
2.14e+00,-6.64e-01,-6.24e-01,
